IDT_AC;REF_CTR_INN;NUM_FOL_XTR;DAT_CRE_MVT_CPB;NUM_ORD_MVT_CPB;COD_LNG_RIU;LIB_OPE_INL_1;LIB_OPE_INL_2;LIB_OPE_INL_3;LIB_OPE_INL_4
65500019605;"0029962012374";"07004";2026-04-27;"00002";"FR";"Virement de";"DE CHA";"02911-25-26117422007580";""
65500019605;"0029962012374";"07005";2026-05-08;"00001";"FR";"Virement de";"ELIE ALEYNA";"02911-25-26128412017515";""
65500021621;"0029262115872";"04005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA MARLEY ILOJHOLRUTI";"COTISATIONS MUTUALISTES 08102064965";""
65500021621;"0029262115872";"04005";2026-05-08;"00002";"FR";"Domiciliation pour";"SEPA MARLEY ILOJHOLRUTI";"ASSURANCE HOSPITALISATION 081020649";""
65500021959;"0029232160742";"05004";2026-04-27;"00001";"FR";"Virement de";"CROTEAU KU";"2026113232996901X000000000000001";""
65500023673;"0029882171395";"05005";2026-05-08;"00001";"FR";"Virement de";"AUGUSTIN JU";"2691186253";""
65500024044;"0029912296971";"02005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA ARCOFA LH/D";"REF 2211346300/ 707772990718/ 58047";""
65500026079;"0029212108757";"04004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA KYLE QUDFITUA";"/INV/BEB2316952 15.4.2026";""
65500026079;"0029212108757";"04004";2026-04-27;"00002";"FR";"Virement de";"IZIWORK";"02911-25-26117922025922";""
65500026079;"0029212108757";"04005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA MARLEY ILOJHOLRUTI";"COTISATIONS MUTUALISTES 08300140205";""
65500027824;"0029222134952";"04005";2026-05-08;"00001";"NL";"Domiciliëringsopdracht voor";"SEPA ALIX BOUDREA";"+++494/3421/08695+++";""
65500028223;"0029212102419";"04005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA MA";"2026/VKXF/26104858 - 26104858 KL053";""
65500029360;"0029192007679";"07005";2026-05-08;"00001";"NL";"Overschrijving van";"DDINHDILV KUHUUFSUFSULVU";"LA-KNACKVOLLEY";""
65500032164;"0029202223458";"02005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA KOTIIDU KUTVIA";"POL.1B34533 VERV.01/05/26 9870";""
65500032808;"0029262144202";"06004";2026-04-27;"00001";"FR";"Virement de";"LOAN L";"02911-25-26117422000806";""
65500032808;"0029262144202";"06004";2026-04-27;"00002";"FR";"Virement de";"A E M";"0P2600772169";""
65500032808;"0029262144202";"06004";2026-04-27;"00003";"FR";"Virement de";"A E M";"0P2600772172";""
65500033145;"0029252120420";"04001";2026-01-05;"00001";"NL";"Creditrente";"";"";""
65500033145;"0029252120420";"04002";2026-04-01;"00001";"NL";"Getrouwheidspremie";"950018010003";"";""
65500033620;"0029272134454";"04004";2026-04-25;"00001";"FR";"Ech prêt 22517 950446300971";"22517 950446300971 AMO";"";""
65500033620;"0029272134454";"04004";2026-04-27;"00001";"FR";"Virement de";"M SWANN";"4EAF8DE44DE2426A8C7528D68D231124";""
65500033620;"0029272134454";"04004";2026-04-27;"00002";"FR";"Domiciliation pour";"SEPA JOSEPH KADILUD";"BE261700929416";""
65500033620;"0029272134454";"04004";2026-04-27;"00003";"FR";"Virement de";"FONTAINE";"00100182507071097071091";""
65500033620;"0029272134454";"04005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA CHAR";"0106244862281002026-05-082026045793";""
65500037546;"0029212099978";"07004";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA TCFM S";"LUMINUS ACOMPTE 8194488212";""
65500038337;"0029272144883";"06004";2026-04-27;"00001";"FR";"Virement de";"VALLEE KADILUD";"1GP0677-03-0302491-2611710215036822";""
65500038337;"0029272144883";"06004";2026-04-27;"00002";"FR";"Domiciliation pour";"SEPA 3DI P";"TOTALENERGIES PG BELGIUM SA-E262533";""
65500038859;"0029212216964";"02004";2026-04-27;"00001";"FR";"Virement de";"VENCOREX KUTVIA";"1AB5685-01-5015276-2611219044587884";""
65500039851;"0029282011608";"07005";2026-05-08;"00001";"NL";"Domiciliëringsopdracht voor";"SEPA THAIS";"BBA";""
65500041559;"0029232233868";"01004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA VENCOREX KUTVIA";"27-04-2026 / 24-05-2026";""
65500043258;"0029222174104";"05004";2026-04-27;"00001";"FR";"Virement de";"ZIGZAG";"260424/06618769354/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00002";"FR";"Virement de";"ZIGZAG";"260424/06618707221/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00003";"FR";"Virement de";"ZIGZAG";"260424/06618453636/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00004";"FR";"Virement de";"ZIGZAG";"260424/06618453330/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00005";"FR";"Virement de";"ZIGZAG";"260424/06618166525/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00006";"FR";"Virement de";"ZIGZAG";"260424/06618150484/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00007";"FR";"Virement de";"ZIGZAG";"260424/06617851994/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00008";"FR";"Virement de";"ZIGZAG";"260424/06617851454/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00009";"FR";"Virement de";"ZIGZAG";"260424/06617749531/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00010";"FR";"Virement de";"ZIGZAG";"260424/06617724707/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00011";"FR";"Virement de";"ZIGZAG";"02911-25-26117312000298";""
65500043258;"0029222174104";"05004";2026-04-27;"00012";"FR";"Virement de";"ZIGZAG";"02911-25-26117312000510";""
65500043258;"0029222174104";"05004";2026-04-27;"00013";"FR";"Virement de";"ZIGZAG";"02911-25-26117312000532";""
65500043258;"0029222174104";"05004";2026-04-27;"00014";"FR";"Virement de";"ZIGZAG";"02911-25-26117312000870";""
65500043258;"0029222174104";"05004";2026-04-27;"00015";"FR";"Virement de";"ZIGZAG";"260424/06619026010/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00016";"FR";"Virement de";"ZIGZAG";"260424/06618905835/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00017";"FR";"Virement de";"ZIGZAG";"260424/06619270769/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00018";"FR";"Virement de";"ZIGZAG";"260424/06619270039/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00019";"FR";"Virement de";"ZIGZAG";"260424/06618957110/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00020";"FR";"Virement de";"ZIGZAG";"260424/06618956146/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00021";"FR";"Virement de";"ZIGZAG";"260425/06621296121/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00022";"FR";"Virement de";"ZIGZAG";"260425/06621295196/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00023";"FR";"Virement de";"ZIGZAG";"260425/06621060569/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00024";"FR";"Virement de";"ZIGZAG";"260425/06621059489/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00025";"FR";"Virement de";"ZIGZAG";"260425/06620822133/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00026";"FR";"Virement de";"ZIGZAG";"260425/06620789972/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00027";"FR";"Virement de";"ZIGZAG";"260425/06620551682/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00028";"FR";"Virement de";"ZIGZAG";"260425/06620551322/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00029";"FR";"Virement de";"ZIGZAG";"260425/06620236257/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00030";"FR";"Virement de";"ZIGZAG";"260425/06620228503/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00031";"FR";"Virement de";"ZIGZAG";"260425/06619883893/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00032";"FR";"Virement de";"ZIGZAG";"260425/06619883821/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00033";"FR";"Virement de";"ZIGZAG";"260425/06619811183/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00034";"FR";"Virement de";"ZIGZAG";"260425/06619792425/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00035";"FR";"Virement de";"ZIGZAG";"260425/06619796928/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00036";"FR";"Virement de";"ZIGZAG";"260426/06621975325/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00037";"FR";"Virement de";"ZIGZAG";"260426/06621975058/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00038";"FR";"Virement de";"ZIGZAG";"260426/06621805740/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00039";"FR";"Virement de";"ZIGZAG";"260426/06621783684/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00040";"FR";"Virement de";"ZIGZAG";"260426/06621742232/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00041";"FR";"Virement de";"ZIGZAG";"260426/06621747562/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00042";"FR";"Virement de";"ZIGZAG";"260426/06621736264/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00043";"FR";"Virement de";"BROCH";"1588/202604241400/668";""
65500043258;"0029222174104";"05004";2026-04-27;"00044";"FR";"Virement de";"TREMBLAY KUTVI";"EDENRED-TRFNEMO26042458584581";""
65500043258;"0029222174104";"05004";2026-04-27;"00045";"FR";"Virement de";"TREMBLAY KUTVI";"EDENRED-TRFNEMO26042458584582";""
65500043258;"0029222174104";"05004";2026-04-27;"00046";"FR";"Virement de";"SFR KUTVIA";"0193316995";""
65500043258;"0029222174104";"05004";2026-04-27;"00047";"FR";"Virement de";"MAHE GILIP";"2604240022383864";""
65500043258;"0029222174104";"05004";2026-04-27;"00048";"FR";"Virement de";"ZIGZAG";"260427/06623797474/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00049";"FR";"Virement de";"ZIGZAG";"260427/06623765416/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00050";"FR";"Virement de";"ZIGZAG";"260427/06623681346/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00051";"FR";"Virement de";"ZIGZAG";"260427/06623553068/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00052";"FR";"Virement de";"ZIGZAG";"260427/06623483232/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00053";"FR";"Virement de";"ZIGZAG";"260427/06623335806/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00054";"FR";"Virement de";"ZIGZAG";"260427/06623096216/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00055";"FR";"Virement de";"ZIGZAG";"260427/06623071418/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00056";"FR";"Virement de";"ZIGZAG";"260427/06622862878/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00057";"FR";"Virement de";"ZIGZAG";"260427/06622826292/01914924       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00058";"FR";"Virement de";"ZIGZAG";"260427/06622816775/01893216       /";""
65500043258;"0029222174104";"05004";2026-04-27;"00059";"FR";"Virement de";"ZIGZAG";"260427/06622750389/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA NATIONALE TIDUFI";"FACTUUR/FACTURE 02-MAY-2026 -CLIENT";""
65500043258;"0029222174104";"05005";2026-05-08;"00002";"FR";"Domiciliation pour";"SEPA ALEX 5F";"VOORSCHOT/AVANCE/SOLDE/SALDI";""
65500043258;"0029222174104";"05005";2026-05-08;"00003";"FR";"Virement de";"ZIGZAG";"260507/06641380373/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00004";"FR";"Virement de";"ZIGZAG";"260507/06641261730/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00005";"FR";"Virement de";"ZIGZAG";"260507/06641071291/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00006";"FR";"Virement de";"ZIGZAG";"260507/06641037275/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00007";"FR";"Virement de";"ZIGZAG";"260507/06640745886/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00008";"FR";"Virement de";"ZIGZAG";"260507/06640740357/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00009";"FR";"Virement de";"ZIGZAG";"260507/06640472205/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00010";"FR";"Virement de";"ZIGZAG";"260507/06640457044/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00011";"FR";"Virement de";"ZIGZAG";"260507/06640365905/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00012";"FR";"Virement de";"ZIGZAG";"260507/06640353449/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00013";"FR";"Virement de";"ZIGZAG";"02911-25-26128312000146";""
65500043258;"0029222174104";"05005";2026-05-08;"00014";"FR";"Virement de";"ZIGZAG";"02911-25-26128312000398";""
65500043258;"0029222174104";"05005";2026-05-08;"00015";"FR";"Virement de";"ZIGZAG";"02911-25-26128312000428";""
65500043258;"0029222174104";"05005";2026-05-08;"00016";"FR";"Virement de";"ZIGZAG";"02911-25-26128312000742";""
65500043258;"0029222174104";"05005";2026-05-08;"00017";"FR";"Virement de";"ZIGZAG";"260507/06641580219/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00018";"FR";"Virement de";"ZIGZAG";"260507/06641820799/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00019";"FR";"Virement de";"ZIGZAG";"260507/06641768857/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00020";"FR";"Virement de";"ZIGZAG";"260507/06641525471/01914924       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00021";"FR";"Virement de";"ZIGZAG";"260507/06641524424/01893216       /";""
65500043258;"0029222174104";"05005";2026-05-08;"00022";"FR";"Virement de";"SFR KUTVIA";"0193490790";""
65500043258;"0029222174104";"05005";2026-05-08;"00023";"FR";"Virement de";"TREMBLAY KUTVI";"EDENRED-TRFNEMO26050759174770";""
65500046718;"0029182297216";"02004";2026-04-27;"00001";"FR";"Virement de";"SACHA LIVI";"00000772660031260421162436201500000";""
65500047087;"0029282150291";"06004";2026-04-27;"00001";"FR";"Virement de";"IZIWORK";"02911-25-26117922025111";""
65500047087;"0029282150291";"06005";2026-05-08;"00001";"FR";"Virement de";"IZIWORK";"02911-25-26128222012643";""
65500047590;"0029212008019";"07005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA VENCOREX KUTVIA";"09-05-2026 / 05-06-2026";""
65500049342;"0029282101003";"04005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA ARCOFA LH/D";"REF 2210348834/ 708493515735/ 68906";""
65500052658;"0029152296319";"02004";2026-04-27;"00001";"FR";"Virement de";"IZIWORK";"02911-25-26117922014560";""
65500052658;"0029152296319";"02004";2026-04-27;"00002";"FR";"Virement de";"IZIWORK";"02911-25-26117922017928";""
65500054517;"0029202241384";"03004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA 3DI P";"TOTALENERGIES PG BELGIUM SA-E262534";""
65500055030;"0029232189187";"05005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA AA COTTILI";"COTIS. ASS. COMPL. - 6635622 - 05/2";""
65500055030;"0029232189187";"05005";2026-05-08;"00002";"FR";"Domiciliation pour";"SEPA MARLEY KUT";"ASSURANCE HABITATION BEOBANK JG8560";""
65500055030;"0029232189187";"05005";2026-05-08;"00003";"FR";"Domiciliation pour";"SEPA MARLEY KUT";"ASSURANCE FAMILIALE BEOBANK JG85819";""
65500055030;"0029232189187";"05005";2026-05-08;"00004";"FR";"Domiciliation pour";"SEPA MARLEY KUT";"ASSURANCE HABITATION BEOBANK JG8628";""
65500055971;"0029282032464";"06004";2026-04-27;"00001";"FR";"Virement de";"MARLEY KUT";"54116/20";""
65500056374;"0029192139520";"04003";2026-05-08;"00001";"FR";"Virement de";"EDEN MILANN";"02911-25-26128412020631";""
65500058483;"0029122231377";"01004";2026-04-27;"00001";"FR";"Virement de";"IZIWORK";"02911-25-26117212012523";""
65500058483;"0029122231377";"01004";2026-04-27;"00002";"FR";"Virement de";"IZIWORK";"02911-25-26117212014647";""
65500058483;"0029122231377";"01004";2026-04-27;"00003";"FR";"Virement de";"IZIWORK";"02911-25-26117212015598";""
65500058483;"0029122231377";"01004";2026-04-27;"00004";"FR";"Virement de";"IZIWORK";"02911-25-26117922025507";""
65500058483;"0029122231377";"01005";2026-05-08;"00001";"FR";"Virement de";"IZIWORK";"02911-25-26128222009712";""
65500058483;"0029122231377";"01005";2026-05-08;"00002";"FR";"Virement de";"IZIWORK";"02911-25-26128222009713";""
65500060729;"0029112160187";"05004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA JOSEPH KADILUD";"BE261700933831";""
65500060729;"0029112160187";"05004";2026-04-27;"00002";"FR";"Domiciliation pour";"SEPA PARENT ASSURANCE";"IDENTIFIANT: +++900/2391/24314+++ D";""
65500071910;"0029172162589";"05004";2026-04-27;"00001";"FR";"Virement de";"PICHE GADAOTID";"5090424S177";""
65500073308;"0029112347915";"01004";2026-04-27;"00001";"FR";"Virement de";"ARTHUR RONAN";"02911-25-26117422003115";""
65500073308;"0029112347915";"01004";2026-04-27;"00002";"FR";"BEOBANK BELGIUM";"";"";""
65500076465;"0029092239960";"01005";2026-05-08;"00001";"NL";"Overschrijving van";"ALIX OOLLUGILVU";"2908/0000001517/20260507";""
65500077260;"0029082098029";"07004";2026-04-27;"00001";"FR";"Virement de";"TIM JOSEP";"9806900/23/04/26 22:20/0023";""
65500078270;"0029182123511";"04005";2026-05-08;"00001";"NL";"Domiciliëringsopdracht voor";"SEPA THAIS E";"BBA";""
65500078270;"0029182123511";"04005";2026-05-08;"00002";"NL";"Overschrijving van";"ZIGZAG";"260507/06640550916/01489165       /";""
65500078270;"0029182123511";"04005";2026-05-08;"00003";"NL";"Overschrijving van";"ZIGZAG";"260507/06640541305/01489165       /";""
65500078270;"0029182123511";"04005";2026-05-08;"00004";"NL";"Overschrijving van";"OUSMANE";"ZPW070526012";""
65500082109;"0029172358223";"01005";2026-05-08;"00001";"FR";"Virement de";"CHARLIE KU";"103414100142/7953";""
65500083580;"0029152162963";"05004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA JOSEPH KADILUD";"BE261700861026";""
65500090081;"0090088140036";"11004";2026-04-27;"00001";"FR";"Virement de";"ARCOFA N";"106960475059";""
65500090081;"0090088140036";"11004";2026-04-27;"00002";"FR";"Virement de";"GAEL ANTON";"02911-25-26117422011915";""
65500090081;"0090088140036";"11004";2026-04-27;"00003";"FR";"Virement de";"METIN";"02911-25-26117612013888";""
65500090081;"0090088140036";"11004";2026-05-08;"00001";"FR";"Virement de";"ALIX ELI";"02911-25-26128412009021";""
65500090211;"0090088142869";"11004";2026-04-27;"00001";"FR";"Virement de";"IZIWORK";"02911-25-26117922021192";""
65500090248;"0090088146945";"11013";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA EDEN QOFIK";"FLGTFA57744A1C03139EPG8T116191";""
65500093005;"0029602231970";"01004";2026-04-27;"00001";"FR";"Frais de rappel";"";"";""
65500096249;"0029572011153";"07004";2026-04-27;"00001";"FR";"Virement de";"MME SHANA";"02911-25-26117612012841";""
65500099073;"0029522130773";"04004";2026-04-27;"00001";"FR";"Virement de";"MUTUALITE NHFUDIULL";"20260423003726000-74620000012304001";""
65500099073;"0029522130773";"04004";2026-04-27;"00002";"FR";"Virement de";"MUTUALITE NHFUDIULL";"20260423003726000-22020000012304002";""
65500100399;"0029542135483";"04005";2026-05-08;"00001";"FR";"Virement de";"M. AYLA";"02911-25-26128622012033";""
65500103432;"0029562248812";"04004";2026-04-27;"00001";"FR";"Virement de";"NTINRNOFU B";"SM10/2026/3636";""
65500104044;"0090088054298";"11004";2026-05-08;"00001";"NL";"Domiciliëringsopdracht voor";"SEPA HTOOGD CILILVJILS";"";""
65500104104;"0090088056473";"11004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA MUTUELL";"CONTR. AUTO 35385622 05/26";""
65500104104;"0090088056473";"11005";2026-05-08;"00001";"FR";"Virement de";"ZIGZAG S";"693545990806-1-102";""
65500104212;"0090088056826";"11004";2026-04-27;"00001";"FR";"Virement de";"DNHITULVFIUQ";"203772 26007 2026/04-1 1 0";""
65500104371;"0090088062531";"11005";2026-05-08;"00001";"FR";"REJ MILO LOAN     OPERATION NON";"";"";""
65500104627;"0090088067318";"11005";2026-05-08;"00001";"FR";"Virement de";"MUTUALITE DITISOFI";"000000130920260507130940";""
65500104650;"0090088066655";"11005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA TCFM S";"LUMINUS ACOMPTE 6648133758";""
65500104979;"0029622284181";"03004";2026-04-27;"00001";"FR";"Virement de";"ALIX LOUANE";"176773584";""
65500106586;"0029532035783";"06004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA ARCOFA LH/D";"REF 2211142927/ 708813615008/ 63762";""
65500106938;"0090087956261";"11005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA BIC STAN";"0208527437 05/2026";""
65500106938;"0090087956261";"11005";2026-05-08;"00002";"FR";"Virement de";"HORKILSDQFUGIU (FUR10-QQ";"MEMBERS/PREMIUMSCT/208500763";""
65500106945;"0090088070033";"10005";2026-05-08;"00001";"NL";"Overschrijving van";"2 B";"5002/0000228935/20260507";""
65500107048;"0090088071497";"11015";2026-04-27;"00001";"FR";"Virement de";"NOAN";"369A5D15D520410093A438F602036B35";""
65500107048;"0090088071497";"11017";2026-05-08;"00001";"FR";"Virement de";"RAPHAEL SASH";"02911-25-26128622013549";""
65500107181;"0090088071880";"11004";2026-05-08;"00001";"NL";"Domiciliëringsopdracht voor";"SEPA HYGEA";"BBA";""
65500107181;"0090088071880";"11004";2026-05-08;"00002";"NL";"Domiciliëringsopdracht voor";"SEPA HYGEA";"BBA";""
