IDT_PI;NUM_TIE;NOM_TIE;PRN;ADR_LIG1;ADR_LIG2;ADR_LIG3;ADR_LIG4;ADR_LIG5;ADR_LIG6;NUM_TEL_DOM_INL;NUM_TEL_MOB_INL;ADR_EMA;NOM_VIL;COD_IDT_NTN;DAT_MAJ_ADR;LIB_TIT;COD_PST;COD_PAY_ISO;NOM_CMU_NAI
655010350;"2900000011623";"THAIS";"DARYL";"SHF. DARYL THAIS";"";"";"";"BIBLIOTHEKWEG";"9040 SINT-AMANDSBERG";"";"0441721546";"DQTK3MW8L5SP@X3SY.TEST";"SINT-AMANDSBERG";"79061301733";15OCT2019;"Sir";"9040";"BE";"NKORANZA"
655010353;"2900000012026";"ADAMA";"PIERRE";"M PIERRE ADAMA";"";"";"";"IYCV 4 BU 698";"1070 ANDERLECHT";"";"0446958650";"DXWGKSIX.ZAO8QUWV@28X3.TEST";"ANDERLECHT";"87042913178";24JAN2025;"Monsieur";"1070";"BE";"GROZNY"
655010358;"2900000012578";"KEVIN";"NAELLE";"GUHF. NAELLE KEVIN";"";"";"";"KUNSTFELDWEG";"2050 ANTWERPEN";"";"";"";"ANTWERPEN";"84092207228";06FEB2021;"Mevrouw";"2050";"BE";"MTALSSA"
655010362;"2900000012983";"MALTAIS";"AMBRE";"MME AMBRE MALTAIS";"";"";"";"PLACE D AUTRICHE";"7530 GAURAIN-RAMECROIX";"064285807";"";"";"GAURAIN-RAMECROIX";"68092267658";14JAN2020;"Madame";"7530";"BE";"TOURNAI"
655010369;"2900000014965";"POULIOT";"JADE";"MME JADE POULIOT";"";"";"";"ROUTE DE L ENFER";"4540 AMAY";"";"0447112479";"SDEIHHU0.Y8ZUQ3@06V1.TEST";"AMAY";"59110664803";13NOV2025;"Madame";"4540";"BE";"ROCOURT"
655010370;"2900000015005";"MARTIN";"ARTUS";"M ARTUS MARTIN";"";"";"";"AVENUE ARCHIMEDE";"4100 SERAING";"";"0425143758";"";"SERAING";"77032935129";24NOV2018;"Monsieur";"4100";"BE";"ROCOURT"
655010375;"2900000015412";"FORTIN";"HISHAM";"SHF. HISHAM FORTIN";"";"";"";"DEUTSCHLANDWEG";"9032 WONDELGEM";"";"";"PIWXLK_5T3S9PT@FXA7W2.TEST";"WONDELGEM";"82072503516";17JUL2021;"Mijnheer";"9032";"BE";"GABROVO"
655010376;"2900000015471";"ALIX";"DYLAN";"SHF. DYLAN ALIX";"";"";"";"AUSTRIAFELDWEG";"8210 LOPPEM";"";"0442213751";"0DIRMUJJ4I@BT63SY.TEST";"LOPPEM";"93040984986";10MAR2021;"Mijnheer";"8210";"BE";"KNOKKE-HEIST"
655010377;"2900000015592";"MARCUS";"ALESSIO";"M ALESSIO MARCUS";"";"02/1";"";"LAAN JOSEPHINE BAKER";"1800 VILVOORDE";"010477543";"0433128223";"NINTHTGFGK@9PD.TEST";"VILVOORDE";"77061019795";30DEC2021;"Monsieur";"1800";"BE";"NIAMEY"
655010378;"2900000015640";"LOUISON";"CHARLIE";"MME CHARLIE LOUISON";"";"";"";"RUE DE LONDRES";"6061 MONTIGNIES-SUR-SAMBRE";"076775665";"0425941198";"WEQLKIUJX7@BT63SY.TEST";"MONTIGNIES-SUR-SAMBRE";"84090886840";24NOV2018;"Madame";"6061";"BE";"CHARLEROI(D 1)"
655010379;"2900000015833";"AUGUSTIN";"TOMMY";"M TOMMY AUGUSTIN";"";"";"";"ROUTE DE LA BIBLIOTHEQUE";"7522 MARQUAIN";"";"";"";"MARQUAIN";"84101307709";25JUL2020;"Monsieur";"7522";"BE";"SAINT-REMY"
655010382;"2900000015960";"SWANN";"INES";"MME INES SWANN";"";"";"";"AVENUE DES PUITS";"4480 ENGIS";"";"";"UENWMEEFM@AS52RX.TEST";"ENGIS";"86061333061";24NOV2018;"Madame";"4480";"BE";"HUY"
655010384;"2900000016197";"MARLEY";"EOLKILV";"MME EOLKILV HE";"";"";"";"KUNSTLERFELDWEG";"1731 ASSE";"";"0449517755";"0D0GKSONS_75PV2R@HZC9Y4.TEST";"ASSE";"80081352248";29SEP2025;"Madame";"1731";"BE";"SHANGHAI"
655010385;"2900000016258";"SASHA";"CHARLIE";"GUB. CHARLIE SASHA";"";"";"";"STERNSWEG";"2950 KAPELLEN";"";"0424227315";"PEZ3XH028U8Y0PBF9D@39Y4.TEST";"KAPELLEN";"08111334227";12MAR2020;"Juffrouw";"2950";"BE";"ANTWERPEN"
655010388;"2900000016611";"SASHA";"ADRIEN";"SHF. ADRIEN SASHA";"";"";"";"PALASTPLATZ";"8793 SINT-ELOOIS-VIJVE";"";"0446517295";"CWX1.0I1XQ34O@7RATY.TEST";"SINT-ELOOIS-VIJVE";"68051500538";23JUN2020;"Mijnheer";"8793";"BE";"WAREGEM"
655010391;"2900000016767";"AYLAN";"LUCAS";"M LUCAS AYLAN";"";"";"";"LAAN JOSEPHINE BAKER";"8930 MENEN";"051224513";"0436709936";"DY2KPTJ5PUQKTSN@GYB8X.TEST";"MENEN";"71032010333";24NOV2018;"Monsieur";"8930";"BE";"TIZI GHANIF"
655010394;"2900000017069";"CORMIER";"ANAELLE";"MME ANAELLE CORMIER";"";"";"";"BOULEVARD DES ECOLES";"6220 FLEURUS";"";"0444799964";"RDEWGT2VL0AOO7@Z5U0.TEST";"FLEURUS";"52052138812";24NOV2020;"Madame";"6220";"BE";"CHARLEROI"
655010397;"2900000017372";"LAMONTAGNE";"FELIX";"SHF. FELIX LAMONTAGNE";"";"";"";"KAPELLEPLATZ";"9070 DESTELBERGEN";"";"0422590752";"";"DESTELBERGEN";"86020860901";25FEB2020;"Mijnheer";"9070";"BE";"GENT"
655010401;"2900000017625";"LAROSE";"INDIRA";"GUHF. INDIRA LAROSE";"";"";"04 ROUTE DES JARDINS";"TAMBON PAK NAM";"CHUMPHON 86120";"";"0435400086";"";"CHUMPHON";"59012310266";28APR2025;"Madam";"86120";"TH";"CHUMPHON"
655010405;"2900000018074";"ANDREA";"MARIE";"MME MARIE ANDREA";"";"";"";"AVENUE MARIA CALLAS";"7700 MOUSCRON";"051672451";"0447441111";"ZPFJ1H.8Q34N1U7@C7GZ.TEST";"MOUSCRON";"66031556801";24NOV2018;"Madame";"7700";"BE";"GAND"
655010406;"2900000018331";"MAHE";"GWENAEL";"M GWENAEL MAHE";"";"";"25 AV DE L OPERA";"";"75001 PARIS";"027392642";"0446279962";"RJERSHJ1LRQ.6QB3XZ1@4AZ5.TEST";"PARIS";"53021262941";15DEC2025;"Monsieur";"75001";"FR";"WOLUWE-SAINT-LAMBERT"
655010420;"2900000019867";"LABRIE";"ELIE";"M ELIE LABRIE";"";"";"";"MUHLEFELDWEG";"1730 ASSE";"029433782";"0423536487";"VEI1ZIMJ@9R41QW.TEST";"ASSE";"60121406187";27AUG2019;"Monsieur";"1730";"BE";"BRUSSEL"
655010423;"2900000020278";"THAIS";"ARTHUS";"M ARTHUS THAIS";"";"";"";"PLACE NEWTON";"6040 JUMET";"";"0422061551";"QDHLKELFJ@AS52RX.TEST";"JUMET";"91032153390";21AUG2025;"Monsieur";"6040";"BE";"SOEST"
655010424;"2900000020655";"MARIUS";"CELESTIN";"M CELESTIN MARIUS";"";"";"";"BOULEVARD DE LA VICTOIRE";"7940 BRUGELETTE";"";"0443891260";"REY0HZ1J8MZ@CU74TZ.TEST";"BRUGELETTE";"71102108768";07OCT2024;"Monsieur";"7940";"BE";"ATH"
655010432;"2900000021409";"BOURQUE";"SUSANNA";"MME SUSANNA BOURQUE";"";"";"";"ROUTE DU MOULIN";"4000 LIEGE";"";"0437833440";"PMQFUHYPIHIM@BRF.TEST";"LIEGE";"73060318638";14MAR2023;"Madame";"4000";"BE";"BUTARE"
655010434;"2900000021816";"CARL";"LEA";"M LEA CARL";"";"";"";"RUE DE LONDRES";"6061 MONTIGNIES-SUR-SAMBRE";"076775665";"0426245109";"EEUV0I01L5@BT63SY.TEST";"MONTIGNIES-SUR-SAMBRE";"81102680391";24NOV2018;"Monsieur";"6061";"BE";"CHARLEROI(D 4)"
655010444;"2900000023674";"ALIX";"ARTHUS";"M ARTHUS ALIX";"";"";"";"GPECV-UUQ(WZ) 8";"6183 TRAZEGNIES";"";"0420081165";"CHMFY1W@8Q30P.TEST";"TRAZEGNIES";"87101638760";30DEC2021;"Monsieur";"6183";"BE";"CHARLEROI(D 1)"
655010450;"2900000024030";"MAELIE";"EMILIO";"M EMILIO MAELIE";"";"";"";"LAAN DER BRUNNENS";"4000 LIEGE";"";"0455637667";"UMXKJN3.NMQBOTYRA@28X3.TEST";"LIEGE";"87081559760";08AUG2022;"Monsieur";"4000";"BE";"LIEGE"
655010453;"2900000024221";"ARSENAULT";"KELYA";"MME KELYA ARSENAULT";"";"";"";"ROUTE DES ECOLES";"6280 GERPINNES";"076906150";"";"";"GERPINNES";"36100961043";24NOV2018;"Madame";"6280";"BE";"IXELLES"
655010459;"2900000024931";"EDEN";"MEI";"MELINEE MEI EDEN";"";"";"";"RUE DE PRAGUES";"5150 FLOREFFE";"";"0432262292";"PEQNHQP2KYMW0P@Z5U0.TEST";"FLOREFFE";"07012462601";19SEP2019;"Mademoiselle";"5150";"BE";"NAMUR"
655010460;"2900000024967";"SWANN";"BRYAN";"M BRYAN SWANN";"";"";"";"ROUTE DE L ABATTOIR 13";"4122 PLAINEVAUX";"048250936";"";"WUFZ0HMUKPRT5@V09BZ0.TEST";"PLAINEVAUX";"74060882942";17MAR2026;"Monsieur";"4122";"BE";"HERMALLE-SOUS-ARGENTEAU"
655010462;"2900000025165";"MAHE";"GABRIEL";"SHF. GABRIEL MAHE";"";"";"";"KUNSTPLATZ";"9040 SINT-AMANDSBERG";"097020513";"0425716508";"YGEJ.6O12Q7X@6Q9SX.TEST";"SINT-AMANDSBERG";"69112965796";07NOV2019;"Mijnheer";"9040";"BE";"GENT"
655010464;"2900000025508";"ANOUCH";"MAE";"MME MAE ANOUCH";"";"";"";"BERLINPLATZ 12";"2910 ESSEN";"027410747";"0424807558";"0DQSMLI.4L45O98S0H@05EG45.TEST";"ESSEN";"70052552635";23FEB2026;"Madame";"2910";"BE";"VILVOORDE"
655010465;"2900000025618";"THIEBOT";"LILIAN";"DHR LILIAN THIEBOT";"";"";"";"RUE MARIE CURIE";"4621 RETINNE";"";"";"ND2901202604@E-I.COM";"RETINNE";"63032081724";29JAN2026;"Mijnheer";"4621";"BE";"EUPEN"
655010470;"2900000026248";"LOAN";"CHARLOTTE";"GUB. CHARLOTTE LOAN";"";"";"";"SCHULENSTRASSE";"8500 KORTRIJK";"051031845";"";"WIT3MHL1QLUBO@7RATY.TEST";"KORTRIJK";"09061469221";24NOV2018;"Juffrouw";"8500";"BE";"KORTRIJK"
655010473;"2900000026449";"MARLEY";"BRYAN";"M BRYAN MARLEY";"";"";"";"ROUTE DE LA PORTE";"7500 TOURNAI";"";"0441265667";"IH1K@PUOPO.TEST";"TOURNAI";"85032088530";17NOV2021;"Monsieur";"7500";"BE";"TOURNAI"
655010474;"2900000026467";"MAHE";"BINTOU";"MME BINTOU MAHE";"";"";"";"PLACE DE L ENFER";"7522 LAMAIN";"";"0427624444";"UIQ1ZH3OORQ82@CSG.TEST";"LAMAIN";"68020667406";28APR2022;"Madame";"7522";"BE";"TOURNAI"
655010476;"2900000026700";"ALIX";"KEVIN";"M KEVIN ALIX";"";"";"BOULEVARD DES PUITS";"";"24310 PAUSSAC ET ST VIVIEN";"015054246";"0427676750";"UDIKMT.YLU4O@X3SY.TEST";"PAUSSAC ET ST VIVIEN";"57081838339";09MAY2023;"Monsieur";"24310";"FR";"ATH"
655010481;"2900000027305";"FIONA";"VALENTIN";"M VALENTIN FIONA";"";"24";"BARRIO DE EUROPA";"";"17130 L'ESCALA";"";"0440597990";"VDIL0.6JW6R4@DV85U0.TEST";"L'ESCALA";"60052850547";02JUL2021;"Monsieur";"17130";"ES";"JENEFFE (EN-HESBAYE)"
655010482;"2900000027326";"MAHE";"TOM";"M TOM MAHE";"";"";"";"PLACE PRINCIPALE";"7500 TOURNAI";"";"0443940253";"";"TOURNAI";"79082954707";24NOV2018;"Monsieur";"7500";"BE";"TOURNAI"
655010485;"2900000027756";"MADDY";"AILEEN";"GUHF. AILEEN MADDY";"";"";"";"STERNSTRASSE";"8780 OOSTROZEBEKE";"";"0424698804";"CGEXMLIOLH@BT63SY.TEST";"OOSTROZEBEKE";"80062165450";11SEP2023;"Mevrouw";"8780";"BE";"KORTRIJK"
655010491;"2900000028365";"STAN";"SARAH";"MME SARAH STAN";"";"";"";"RUE DES ECOLES";"6540 LOBBES";"063016308";"";"RJERSH.2K53ZUP6@C.TEST";"LOBBES";"43032835421";09MAY2019;"Madame";"6540";"BE";"MOUSCRON"
655010499;"2900000029096";"EDEN";"HOEL";"SHF. HOEL EDEN";"";"";"";"BERLINFELDWEG";"8790 WAREGEM";"";"0422257692";"GITUG.QSO2AN0@7RATY.TEST";"WAREGEM";"77052335723";24NOV2018;"Mijnheer";"8790";"BE";"IZEGEM"
655010505;"2900000030079";"AYLAN";"LINSEY";"GUHF. LINSEY AYLAN";"";"";"";"LAAN JOSEPHINE BAKER";"8930 MENEN";"051224513";"0427359145";"DY2KPTJ5PUQKTSN@GYB8X.TEST";"MENEN";"09112063233";18DEC2024;"Mevrouw";"8930";"BE";"KORTRIJK"
655010506;"2900000030093";"AYLAN";"ADRIEN";"SHF. ADRIEN AYLAN";"";"";"";"GPCPM AJK 2305 JDMM 678";"9920 LIEVEGEM";"";"0432777474";"FJWYHL.OW3SRTSR@06V1.TEST";"LIEVEGEM";"75090807760";20MAY2025;"Sir";"9920";"BE";"KUBRAT"
655010508;"2900000030237";"LABELLE";"LEELA";"GUHF. LEELA MAHE MAHE PROVOST";"";"";"";"KUNSTFELDWEG";"9000 GENT";"";"0446833455";"UJEZRHZ7.ONR7P2Z1EIC@0Z3J1EBDQUO9SDGXEV.TEST";"GENT";"82012830403";25NOV2019;"Mevrouw";"9000";"BE";"GENT"
655010515;"2900000030950";"NGUYEN";"TITOUAN";"SHF. TITOUAN NGUYEN";"";"";"";"LAAN DER GARTEN";"8790 WAREGEM";"";"0428967056";"PEQLGVI2KOR7@DV85U0.TEST";"WAREGEM";"88080180502";10DEC2021;"Mijnheer";"8790";"BE";"ROESELARE"
655010520;"2900000031486";"MEUNIER";"LEA";"MME LEA APOLLINE LUCIA";"";"";"";"STEINBRUCHEPLATZ";"1501 BUIZINGEN";"";"0436579331";"EDIJM4IV.LVZTCQ3YU@39Y4.TEST";"BUIZINGEN";"87081838288";12MAR2025;"Madame";"1501";"BE";"BRUSSEL"
655010522;"2900000031912";"CAMILLE";"MAELYS";"MME MAELYS CAMILLE";"";"B002";"";"RUE DE PARIS";"1160 AUDERGHEM";"";"0435302848";"ODIGPYF@8Q30PV.TEST";"AUDERGHEM";"66072908493";27AUG2021;"Madame";"1160";"BE";"BRUXELLES"
655010532;"2900000034431";"ANTONIN";"AYLAN";"M AYLAN ANTONIN";"";"";"";"PLACE DE LA CHAPELLE";"1070 ANDERLECHT";"028361747";"0443741800";"NIQTL62XQ.B.Z@Y4TZ.TEST";"ANDERLECHT";"69101918189";15JUN2021;"Monsieur";"1070";"BE";"MILEJCZYCE"
655010533;"2900000034622";"OUSMANE";"NATHAN";"M NATHAN OUSMANE";"";"";"";"BOULEVARD DES BOIS";"6120 NALINNES";"";"0444593403";"";"NALINNES";"61083035582";24NOV2018;"Monsieur";"6120";"BE";"CHARLEROI"
655010539;"2900000035128";"ALIX";"ERIN";"AMEN";"";"0003";"";"BOULEVARD D ESPAGNE";"1070 ANDERLECHT";"020070060";"0427838373";"X1FJXI0POLXSL@EW96V.TEST";"ANDERLECHT";"46012955038";22AUG2022;"Madame";"1070";"BE";"CHARLEROI"
655010545;"2900000035879";"EDEN";"ROZENN";"MME ROZENN EDEN";"";"";"";"RUE DE LA FONTAINE";"7534 TOURNAI";"";"0426113343";"ZOHFEGEJ@509S.TEST";"TOURNAI";"73080563231";24NOV2018;"Madame";"7534";"BE";"TOURNAI"
655010547;"2900000035996";"CHELSEA";"ALESSIO";"SHF. ALESSIO CHELSEA";"";"";"";"STADIONSPLATZ";"8890 MOORSLEDE";"";"0420493940";"UEIYP3Z.VNRZS@Y4TZ.TEST";"MOORSLEDE";"87030580916";03JUN2021;"Mijnheer";"8890";"BE";"IZEGEM"
655010558;"2900000037563";"THAIS";"BINTOU";"GUB. BINTOU THAIS";"";"";"";"SIEGESPLATZ";"8420 DE HAAN";"054094187";"0443766448";"NMNRX6ONYL4@TY79X.TEST";"DE HAAN";"67050409464";13APR2025;"Juffrouw";"8420";"BE";"ANTWERPEN"
655010560;"2900000038240";"ADEM";"THOMAS";"SHF. THOMAS ADEM";"";"";"";"EJLRESJL YKYAZSRPMTVIRL (ZNS 776";"9200 DENDERMONDE";"";"0434373022";"PJWK0H1KMQX@W2RX.TEST";"DENDERMONDE";"76081157172";13JUL2023;"Mijnheer";"9200";"BE";"KOSICE"
655010562;"2900000038505";"S'HUFSD";"LIYA";"MME LIYA S'HUFSD";"";"";"";"BOULEVARD DE LA CHAPELLE";"1070 BRUXELLES";"";"0422032733";"FW2FS0Z@SYNT.TEST";"BRUXELLES";"81120458612";22OCT2020;"Madame";"1070";"BE";"KIGALI"
655010564;"2900000038559";"GRONDIN";"EDEN";"GUHF. EDEN GRONDIN";"";"";"";"SIEGESSTRASSE";"2020 ANTWERPEN";"";"0432725094";"DRZGYNW@8Q30PV.TEST";"ANTWERPEN";"80030904825";05MAY2020;"Mevrouw";"2020";"BE";"Y.PIRIBEYLI"
655010569;"2900000039073";"ELOUAN";"ADAM";"SHF. ADAM ELOUAN";"";"";"";"REPUBLIEKKAAI";"9000 GENT";"";"";"";"GENT";"76102801337";24MAY2024;"Mijnheer";"9000";"BE";"RAZGRAD"
655010570;"2900000039348";"LEDUC";"VICTOR";"M VICTOR LEDUC";"";"";"";"BOULEVARD DE MADRID";"1080 MOLENBEEK-SAINT-JEAN";"";"0421877897";"VJRLXTO.OMS6TCA5Y@Z4DF3.TEST";"MOLENBEEK-SAINT-JEAN";"91090384173";24MAY2022;"Monsieur";"1080";"BE";"ETTERBEEK"
655010576;"2900000040206";"LAROCQUE";"KELYA";"MME KELYA LAROCQUE";"";"";"";"ROUTE DE LA CHAPELLE 11";"4621 RETINNE";"";"0416716353";"0IQK51WPSRQTP@Y4TZ.TEST";"RETINNE";"54032586426";19JAN2026;"Madame";"4621";"BE";"SOUMAGNE"
655010577;"2900000040217";"MAHE";"LORNA";"MELINEE LORNA MAHE";"";"";"PARLIAMENT STREET";"DOWNTOWN";"NASSAU, BAHAMAS";"";"0428777089";"PEXLEHEIPJ@BT63SY.TEST";"";"92032258628";22DEC2025;"Mademoiselle";"";"BS";"SAINT-GHISLAIN"
655010582;"2900000041031";"LOUISON";"SITA";"GUHF. SITA DE GWENAEL";"";"";"";"RUE DE L EUROPE";"7530 GAURAIN-RAMECROIX";"";"0442372144";"";"GAURAIN-RAMECROIX";"84103130022";24NOV2018;"Mevrouw";"7530";"BE";"BRUSSEL"
